1,2,4
1,2,5
1,4,18
1,4,23
1,4,27
2,2,2
2,2,3
2,2,9
2,2,27
2,2,28
2,4,5
2,4,7
2,4,11
2,4,13
2,4,18
3,4,17
4,2,20
4,4,2
4,4,4
4,4,5
4,4,23
5,2,20
5,2,25
5,2,30
5,3,14
5,4,2
5,4,3
5,4,11
5,4,20
6,2,2
6,2,6
6,2,9
6,2,11
6,2,26
6,4,23
6,4,25
7,2,5
7,2,8
7,2,15
7,2,22
7,4,9
7,4,27
7,4,29
8,2,5
8,2,12
8,4,4
8,4,6
8,4,8
8,4,20
8,4,21
8,4,24
8,4,26
9,2,2
9,2,3
9,2,7
9,2,19
9,4,6
9,4,13
10,2,1
10,4,9
10,4,16
11,4,2
11,4,10
11,4,21
1,8,9
1,8,17
1,8,20
1,12,5
1,12,10
1,12,12
1,12,17
1,12,25
2,7,50
2,7,52
2,8,4
2,8,5
2,8,14
2,11,6
2,12,12
2,12,20
2,12,26
2,12,28
3,7,18
3,8,7
3,8,15
3,8,18
3,8,23
3,8,27
3,8,28
3,11,8
3,12,4
3,12,10
4,8,2
4,8,7
4,8,26
4,8,29
4,12,7
4,12,13
4,12,21
4,12,29
5,8,9
5,8,16
5,8,18
5,8,24
5,8,26
5,8,29
5,12,5
5,12,16
5,12,20
5,12,25
6,8,14
6,8,22
6,8,23
6,12,10
6,12,15
6,12,25
6,12,27
6,12,29
7,8,2
7,8,11
7,8,33
7,12,3
7,12,30
8,7,18
8,8,4
8,8,5
8,8,11
8,8,12
8,8,13
8,8,24
8,8,25
8,8,26
8,8,27
8,8,28
8,8,33
8,12,5
8,12,29
9,8,26
9,12,2
9,12,8
9,12,14
9,12,15
9,12,25
10,8,8
10,8,27
10,11,6
10,12,2
10,12,9
11,8,4
11,8,12
11,8,29
11,12,21
